imdb_id,title,original_title,overview,poster_link
tt0069049,The Other Side of the Wind,The Other Side of the Wind,"Orson Welles' unfinished masterpiece, restored and assembled based on Welles' own notes. During the last 15 years of his life, Welles, who died in 1985, worked obsessively on the film, which chronicles a temperamental film director‚much like him‚who is battling with the Hollywood establishment to finish an iconoclastic work.",https://m.media-amazon.com/images/M/MV5BNDg5NTQ0NDU1Nl5BMl5BanBnXkFtZTgwMTExNzIyNjM@._V1_SX300.jpg
tt3906082,Mary Shelley,Mary Shelley,"The love affair between poet Percy Shelley and 18 years old Mary Wollstonecraft, which resulted in Mary Shelley writing Frankenstein.",https://m.media-amazon.com/images/M/MV5BNzUyM2EzOTEtOTMwMi00NzMwLWEyYTAtZGYxYzMyZDgyNGUyXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg
tt5613402,Mobile Homes,Mobile Homes,"In forgotten towns along the American border, a young mother drifts from one motel to the next with her intoxicating boyfriend and her 8-year-old son. The makeshift family scrapes by, living one hustle at a time, until the discovery of a mobile home community offers an alternative life.",https://m.media-amazon.com/images/M/MV5BMTc3OTgwNzQ1NF5BMl5BanBnXkFtZTgwMDY3MjA1NjM@._V1_SX300.jpg
tt3038708,Iron Sky: The Coming Race,Iron Sky: The Coming Race,"Twenty years after the events of Iron Sky, the former Nazi Moonbase has become the last refuge of mankind. Earth was devastated by a nuclear war, but buried deep under the wasteland lies a power that could save the last of humanity - or destroy it once and for all. The truth behind the creation of mankind will be revealed when an old enemy leads our heroes on an adventure into the Hollow Earth. To save humanity they must fight the Vril, an ancient shapeshifting reptilian race and their army of dinosaurs.",https://m.media-amazon.com/images/M/MV5BYzFmZDc3YzktMjllZS00MzFiLTg2YjYtMGJkNTBmZjMzNGYxXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg
tt3498786,Sly Cooper,Sly Cooper,"Sly Cooper is a kinetic and comedic heist film that tells the story of Sly Cooper, an orphaned raccoon thief, along with his childhood friends and partners in crime, Bentley Turtle and Murray Hippo. In the film, Sly learns of his birth family's secret legacy; that he comes from a long line of talented and international thieves. Endowed with this knowledge, Sly and his friends are catapulted into a global adventure as they race to reassemble pieces of an ancient book holding The Cooper Clan's family secrets before it can fall into the hands of Clockwerk -- an evil Russian metallic owl bent on ending the Cooper family line. From romantic Parisian backdrops to the lush mountains of China, gritty film noir meets bright, colorful graphic novels in this origin story of the world's greatest thief-turned-hero.",http://ia.media-imdb.com/images/M/MV5BNmEwNjJmMGEtZjE0OC00ZjBhLTg5MzItNjMwZmIyZTY2ZjlmXkEyXkFqcGdeQXVyMzY3MzcyNTE@._V1_SX300.jpg
tt2328678,The King's Daughter,The King's Daughter,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",https://m.media-amazon.com/images/M/MV5BODE0MmM4NjItNGZiZC00NDU0LTg5NjAtYjg3NDc2OWVmMzY5XkEyXkFqcGdeQXVyMTk0NjI2NTY@._V1_SX300.jpg
tt3859310,How to Talk to Girls at Parties,How to Talk to Girls at Parties,"A couple of British 1970s teen-aged boys, Enn and Vic, go to a party to meet girls, only to find that the girls are very different from the boys' expectations.",https://m.media-amazon.com/images/M/MV5BMWZkYTllMjctM2E0ZS00NTNjLWE2YjQtODY4YWZjMDJiODVhXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_SX300.jpg
tt4765284,Pitch Perfect 3,Pitch Perfect 3,Sequel to Pitch Perfect 2,https://m.media-amazon.com/images/M/MV5BMTU5NDI1MjkwMF5BMl5BanBnXkFtZTgwNjIxNTY2MzI@._V1_SX300.jpg
tt5690244,Machines,Machines,"This portrayal of the rhythm of life and work in a gigantic textile factory in Gujarat, India, moves through the corridors and bowels of the enormously disorienting structure‚taking the viewer on a journey of dehumanizing physical labor and intense hardship.",https://m.media-amazon.com/images/M/MV5BMjI3NjE1NzgwNl5BMl5BanBnXkFtZTgwNjY2NzE5MDI@._V1_SX300.jpg
tt2582498,Sweet Virginia,Sweet Virginia,A former rodeo champ befriends a young man with a propensity for violence.,https://m.media-amazon.com/images/M/MV5BMjA4NzE0NjQ5NF5BMl5BanBnXkFtZTgwODE0MzIxNDM@._V1_SX300.jpg
